#,asset,date,volume,close_usd,sector_level1,sector_level2
1,Amazon Com,12/1/1999,213201960,4.25,CONSUMER CYCLICALS,Retailers
2,Amazon Com,12/2/1999,190767980,4.453125,CONSUMER CYCLICALS,Retailers
3,Amazon Com,12/3/1999,222977980,4.328125,CONSUMER CYCLICALS,Retailers
4,Amazon Com,12/6/1999,183930000,4.3875,CONSUMER CYCLICALS,Retailers
5,Amazon Com,12/7/1999,134525940,4.303125,CONSUMER CYCLICALS,Retailers
6,Amazon Com,12/8/1999,257304000,4.428125,CONSUMER CYCLICALS,Retailers
7,Amazon Com,12/9/1999,827050000,5.18125,CONSUMER CYCLICALS,Retailers
8,Amazon Com,12/10/1999,298434000,5.334375,CONSUMER CYCLICALS,Retailers
9,Amazon Com,12/13/1999,173050000,5.125,CONSUMER CYCLICALS,Retailers
10,Amazon Com,12/14/1999,202085940,4.78125,CONSUMER CYCLICALS,Retailers
11,Amazon Com,12/15/1999,202595940,4.825,CONSUMER CYCLICALS,Retailers
12,Amazon Com,12/16/1999,140047980,4.74375,CONSUMER CYCLICALS,Retailers
13,Amazon Com,12/17/1999,119030000,4.703125,CONSUMER CYCLICALS,Retailers
14,Amazon Com,12/20/1999,211074000,4.85,CONSUMER CYCLICALS,Retailers
15,Amazon Com,12/21/1999,190115940,4.99375,CONSUMER CYCLICALS,Retailers
16,Amazon Com,12/22/1999,118397980,4.884375,CONSUMER CYCLICALS,Retailers
17,Amazon Com,12/23/1999,258247980,4.5,CONSUMER CYCLICALS,Retailers
18,Amazon Com,12/24/1999,0,4.5,CONSUMER CYCLICALS,Retailers
19,Amazon Com,12/27/1999,330390000,4.05625,CONSUMER CYCLICALS,Retailers
20,Amazon Com,12/28/1999,206080000,4.115625,CONSUMER CYCLICALS,Retailers
21,Amazon Com,12/29/1999,118253980,4.175,CONSUMER CYCLICALS,Retailers
22,Amazon Com,12/30/1999,185100000,3.953125,CONSUMER CYCLICALS,Retailers
23,Amazon Com,12/31/1999,145411960,3.80625,CONSUMER CYCLICALS,Retailers
24,Amazon Com,1/3/2000,322505940,4.46875,CONSUMER CYCLICALS,Retailers
25,Amazon Com,1/4/2000,349511960,4.096875,CONSUMER CYCLICALS,Retailers
26,Amazon Com,1/5/2000,769021960,3.4875,CONSUMER CYCLICALS,Retailers
